start_station_id,start_station_name,rides
JC115,Grove St PATH,29448
HB102,Hoboken Terminal - River St & Hudson Pl,16789
HB101,Hoboken Terminal - Hudson St & Hudson Pl,16186
JC009,Hamilton Park,14789
JC066,Newport PATH,13960
JC109,Bergen Ave & Sip Ave,13418
JC116,Exchange Pl,13389
HB105,City Hall - Washington St & 1 St,13332
JC008,Newport Pkwy,13124
HB502,11 St & Washington St,12552
HB202,14 St Ferry - 14 St & Shipyard Ln,12318
HB609,River St & 1 St,12095
JC105,Hoboken Ave at Monmouth St,12017
JC013,Marin Light Rail,11699
HB501,Columbus Park - Clinton St & 9 St,11486
HB603,8 St & Washington St,11369
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,11345
JC014,Columbus Drive,10821
JC052,Liberty Light Rail,10789
HB402,Madison St & 1 St,9973
HB201,12 St & Sinatra Dr N,9708
HB305,9 St HBLR - Jackson St & 8 St,9688
HB611,4 St & River St,9536
JC098,Washington St,9421
HB601,Church Sq Park - 5 St & Park Ave,9389
JC006,Warren St,9338
HB106,River St & Newark St,9245
HB303,Clinton St & 7 St,9158
JC082,Manila & 1st,9069
JC032,Newark Ave,8977
HB408,Marshall St & 2 St,8569
JC003,City Hall,8389
HB304,7 St & Monroe St,8335
JC104,Harborside,8223
HB602,Stevens - River Ter & 6 St,8191
JC023,Brunswick St,8177
HB506,Grand St & 14 St,7748
HB301,4 St & Grand St,7594
HB203,Bloomfield St & 15 St,7583
HB401,Southwest Park - Jackson St & Observer Hwy,7544
HB505,Willow Ave & 12 St,7503
JC035,Van Vorst Park,7460
JC072,Morris Canal,7454
HB409,Clinton St & Newark St,7382
JC110,JC Medical Center,7176
JC102,Grand St,7112
JC055,McGinley Square,7030
HB407,Adams St & 2 St,6908
JC103,Journal Square,6507
HB608,2 St & Park Ave,6465
